,gini,mpr,tau,theil,nump,entropy,hhi,nc
2022-03-11,0.9288614143713064,0.08404950154692334,89,2.548619115182205,564,7.672953932869063,139.03048126149437,43
2022-03-12,0.9332746384294438,0.09139691881599446,84,2.612046610951672,536,7.5814473992664455,152.84267454799593,41
2022-03-13,0.9337265019562019,0.08840798523737628,83,2.6113357866944287,537,7.582472901897325,147.9101944330248,40
2022-03-14,0.932950064702748,0.08973509933774834,85,2.606062145605552,532,7.590081157743618,149.27525108547806,41
2022-03-15,0.9305672317033226,0.08977333571301088,88,2.5871204771354215,551,7.6174082089116695,149.96651069967862,40
2022-03-16,0.9371736925010034,0.08896297596069486,78,2.6627772516921127,512,7.508258555449138,152.48224515581862,39
2022-03-17,0.9355268512527463,0.08417972112239629,79,2.64227973664461,522,7.537830218758701,147.21192481816598,38
2022-03-18,0.9360836262576379,0.09637742207245156,79,2.6663769892425044,535,7.503065231936676,163.57293879425376,37
2022-03-19,0.9334918771077407,0.09431271171331788,84,2.6466916188009852,542,7.531465218250648,164.25954505215725,39
2022-03-20,0.9321478397575782,0.08853893263342082,85,2.6242129436123234,548,7.563895091471122,156.6355824069681,40
2022-03-21,0.9329036711348242,0.0879297994269341,82,2.6139990027125415,547,7.578630693355182,149.1456864065161,39
2022-03-22,0.9294002118719722,0.08802209181912322,85,2.5609440700181287,567,7.655172781648151,144.1369423977691,43
2022-03-23,0.9365387988736555,0.08846815834767642,77,2.6708822906132292,533,7.496565455991388,157.09871697263605,37
2022-03-24,0.9346270346102954,0.09344660194174757,81,2.654950512732602,524,7.519550152932303,161.81931109704766,38
2022-03-25,0.9338168278743995,0.08797850906648758,82,2.6481591153273705,538,7.52934806828952,160.70164866960403,38
2022-03-26,0.933853086039913,0.08956760466712423,84,2.6159390388487487,527,7.5758318128423,149.7886802123007,41
2022-03-27,0.9294911746870828,0.08729595457771469,92,2.5676226606967396,550,7.645537611995934,146.20600307966382,42
2022-03-28,0.9268437609227543,0.0800419433764418,95,2.5198351147120346,553,7.714480467604354,133.71375417042285,46
