,gini,mpr,tau,theil,nump,entropy,hhi,nc
2023-02-08,0.9988315255683422,0.2952794509034879,3,7.458088531596974,302,3.207929241309939,2018.156424443972,2
2023-02-09,0.998911046651689,0.3366876310272537,3,7.49292463912238,289,3.1576713617390832,2081.9361243817093,2
2023-02-10,0.9988826398053448,0.3530970982142857,3,7.497255509430693,292,3.1514232366226156,2137.305201316359,2
2023-02-11,0.9988924671880869,0.30162056440346463,3,7.431018864145875,287,3.246982516300151,1988.2212380889844,2
2023-02-12,0.99882504380645,0.314473316568874,3,7.413108502160483,300,3.272821706717006,1995.4929413850675,2
2023-02-13,0.9988101679543225,0.34613772873306325,3,7.494251662571458,307,3.1557568715901003,2158.0586444268747,2
2023-02-14,0.9987791275769243,0.30190263010632346,3,7.351880646237337,298,3.3611548308214547,1933.8553577741923,2
2023-02-15,0.998938124695677,0.2873322147651007,3,7.497481332791461,285,3.151097442379776,2011.8748561125835,2
2023-02-16,0.9990214017614035,0.28136350936015647,3,7.533220534350874,266,3.099536673524822,2072.2832055388913,2
2023-02-17,0.999018065244207,0.3524024235592504,3,7.549530004300648,269,3.0760070821087457,2194.200023272993,2
2023-02-18,0.9991375523451606,0.36671824447882967,3,7.602724006490549,244,2.9992643589442305,2312.0733930257115,2
2023-02-19,0.9991436085578174,0.3370802304341717,3,7.598723270803219,243,3.0050362004803275,2239.851271297212,2
2023-02-20,0.999169950780602,0.3609201851592089,3,7.573741349627288,229,3.041077494272668,2231.696499203958,2
2023-02-21,0.999202969854701,0.3388615600843289,3,7.58793526989761,226,3.020599995887868,2174.5285884097825,2
2023-02-22,0.9990356512770338,0.334695603156708,3,7.48691136049194,260,3.1663466889987277,2063.6405825598035,2
2023-02-23,0.9991014708340007,0.36864287721270017,3,7.489892249960521,246,3.1620461745450057,2095.1691318212097,2
2023-02-24,0.9989883161906807,0.378969654199012,3,7.496571883095357,271,3.1524095009464292,2154.0180757004027,2
2023-02-25,0.999000626216898,0.33141169853768276,3,7.432212950856482,262,3.2452598133241994,1951.199654950312,2
2023-02-26,0.9989542889867851,0.31212248911363955,3,7.390984062708923,273,3.3047405257961153,1872.9224242203775,2
2023-02-27,0.9991495548045805,0.3402495443712323,3,7.515169936146218,239,3.125578182039626,2046.9800827595304,2
2023-02-28,0.9991471227071158,0.3236742157828105,3,7.531742105257556,242,3.1016695958459337,1999.4287057662675,2
2023-03-01,0.9991068901050232,0.3478505198089351,3,7.519662925607291,244,3.119096168425492,2077.037023937421,2
2023-03-02,0.9991392565745978,0.34948584307648967,3,7.524219771139692,239,3.1125220299737686,2117.0900726431614,2
